wikidata_uri,codistat
http://www.wikidata.org/entity/Q22450,003070
http://www.wikidata.org/entity/Q22458,003073
http://www.wikidata.org/entity/Q22462,003076
http://www.wikidata.org/entity/Q22465,003077
http://www.wikidata.org/entity/Q22468,003079
http://www.wikidata.org/entity/Q22472,003082
http://www.wikidata.org/entity/Q22475,003083
http://www.wikidata.org/entity/Q22479,003084
http://www.wikidata.org/entity/Q22482,003088
http://www.wikidata.org/entity/Q22487,003090
http://www.wikidata.org/entity/Q22490,003091
http://www.wikidata.org/entity/Q22493,003093
http://www.wikidata.org/entity/Q22497,003095
http://www.wikidata.org/entity/Q22500,003097
http://www.wikidata.org/entity/Q22504,003098
http://www.wikidata.org/entity/Q22508,003100
http://www.wikidata.org/entity/Q22512,003103
http://www.wikidata.org/entity/Q22516,003104
http://www.wikidata.org/entity/Q6046,003106
http://www.wikidata.org/entity/Q22529,003108
http://www.wikidata.org/entity/Q22533,003109
http://www.wikidata.org/entity/Q22536,003112
http://www.wikidata.org/entity/Q22543,003114
http://www.wikidata.org/entity/Q22549,003115
http://www.wikidata.org/entity/Q22554,003116
http://www.wikidata.org/entity/Q22560,003119
http://www.wikidata.org/entity/Q22566,003120
http://www.wikidata.org/entity/Q22571,003121
http://www.wikidata.org/entity/Q22578,003122
http://www.wikidata.org/entity/Q22584,003129
http://www.wikidata.org/entity/Q22593,003130
http://www.wikidata.org/entity/Q22599,003131
http://www.wikidata.org/entity/Q22605,003133
http://www.wikidata.org/entity/Q22612,003134
http://www.wikidata.org/entity/Q22618,003135
http://www.wikidata.org/entity/Q22626,003138
http://www.wikidata.org/entity/Q22630,003139
http://www.wikidata.org/entity/Q22631,003140
http://www.wikidata.org/entity/Q22632,003141
http://www.wikidata.org/entity/Q22634,003143
http://www.wikidata.org/entity/Q22635,003144
http://www.wikidata.org/entity/Q22638,003146
http://www.wikidata.org/entity/Q22641,003149
http://www.wikidata.org/entity/Q22644,003153
http://www.wikidata.org/entity/Q22646,003154
http://www.wikidata.org/entity/Q22650,003158
http://www.wikidata.org/entity/Q22653,003159
http://www.wikidata.org/entity/Q22655,003164
http://www.wikidata.org/entity/Q60380313,003166
http://www.wikidata.org/entity/Q18337,004001
http://www.wikidata.org/entity/Q18339,004002
http://www.wikidata.org/entity/Q18341,004003
http://www.wikidata.org/entity/Q18342,004004
http://www.wikidata.org/entity/Q18344,004005
http://www.wikidata.org/entity/Q18202,004006
http://www.wikidata.org/entity/Q18347,004007
http://www.wikidata.org/entity/Q18348,004008
http://www.wikidata.org/entity/Q18351,004009
http://www.wikidata.org/entity/Q18352,004010
http://www.wikidata.org/entity/Q18353,004011
http://www.wikidata.org/entity/Q18354,004012
http://www.wikidata.org/entity/Q18356,004013
http://www.wikidata.org/entity/Q18357,004014
http://www.wikidata.org/entity/Q18358,004015
http://www.wikidata.org/entity/Q18360,004016
http://www.wikidata.org/entity/Q18205,004017
http://www.wikidata.org/entity/Q18361,004018
http://www.wikidata.org/entity/Q18365,004019
http://www.wikidata.org/entity/Q18367,004020
http://www.wikidata.org/entity/Q18368,004021
http://www.wikidata.org/entity/Q18369,004022
http://www.wikidata.org/entity/Q18371,004023
http://www.wikidata.org/entity/Q18374,004024
http://www.wikidata.org/entity/Q18372,004025
http://www.wikidata.org/entity/Q18377,004026
http://www.wikidata.org/entity/Q18378,004027
http://www.wikidata.org/entity/Q18380,004028
http://www.wikidata.org/entity/Q18382,004029
http://www.wikidata.org/entity/Q18384,004030
http://www.wikidata.org/entity/Q18385,004031
http://www.wikidata.org/entity/Q18386,004032
http://www.wikidata.org/entity/Q18388,004033
http://www.wikidata.org/entity/Q18390,004034
http://www.wikidata.org/entity/Q18392,004035
http://www.wikidata.org/entity/Q18394,004037
http://www.wikidata.org/entity/Q19207,004038
http://www.wikidata.org/entity/Q19209,004039
http://www.wikidata.org/entity/Q19210,004040
http://www.wikidata.org/entity/Q19212,004041
http://www.wikidata.org/entity/Q19213,004042
http://www.wikidata.org/entity/Q19372,004043
http://www.wikidata.org/entity/Q19887,004044
http://www.wikidata.org/entity/Q19888,004045
http://www.wikidata.org/entity/Q19890,004046
http://www.wikidata.org/entity/Q19893,004047
http://www.wikidata.org/entity/Q19896,004049
http://www.wikidata.org/entity/Q19903,004050
http://www.wikidata.org/entity/Q19911,004051
http://www.wikidata.org/entity/Q19915,004052
http://www.wikidata.org/entity/Q18206,004053
http://www.wikidata.org/entity/Q19917,004054
http://www.wikidata.org/entity/Q19918,004055
http://www.wikidata.org/entity/Q19919,004056
http://www.wikidata.org/entity/Q19920,004057
http://www.wikidata.org/entity/Q19925,004058
http://www.wikidata.org/entity/Q19927,004059
http://www.wikidata.org/entity/Q19929,004060
http://www.wikidata.org/entity/Q19933,004061
http://www.wikidata.org/entity/Q19936,004062
http://www.wikidata.org/entity/Q19937,004063
http://www.wikidata.org/entity/Q19938,004064
http://www.wikidata.org/entity/Q19941,004065
http://www.wikidata.org/entity/Q19944,004066
